betId,marketId,matchName,playerName,side,odds,stake,liability,action,reason,placedAt,settledAt,pnl,dryRun
DRY-1774133730919-9756,,Gianluca Cadenasso v Lautaro Midon,Gianluca Cadenasso,BACK,1.96,2,2,BET_PLACED,"Strategy 2: set 1 complete 4-6 (fav @ 1.96 pre-match), back playerA @ 1.96",2026-03-21T22:55:30.919Z,,,true
DRY-1774133735926-3831,,Gianluca Cadenasso v Lautaro Midon,Gianluca Cadenasso,BACK,1.96,2,2,BET_PLACED,"Strategy 4: set 1 complete 4-6 (fav @ 1.96 pre-match), back playerA @ 1.96",2026-03-21T22:55:35.926Z,,,true
DRY-1774204864462-7189,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,2.6,2,2,BET_PLACED,"Strategy 2: set 1 complete 2-6 (fav @ 2.60 pre-match), back playerA @ 2.6",2026-03-22T18:41:04.462Z,,,true
DRY-1774204869468-2992,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,2.6,2,2,BET_PLACED,"Strategy 4: set 1 complete 2-6 (fav @ 2.60 pre-match), back playerA @ 2.6",2026-03-22T18:41:09.468Z,,,true
DRY-1774205174855-2159,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,4.2,2,2,BET_PLACED,"Strategy 5: set 1 complete 2-6 (fav @ 2.60 pre-match), back playerA @ 4.2",2026-03-22T18:46:14.855Z,,,true
DRY-1774208915301-3010,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,1.64,2,2,BET_PLACED,"Strategy 2: set 1 complete 3-6 (fav @ 1.11 pre-match), back playerA @ 1.64",2026-03-22T19:48:35.302Z,,,true
DRY-1774208920301-7285,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,1.64,2,2,BET_PLACED,"Strategy 4: set 1 complete 3-6 (fav @ 1.11 pre-match), back playerA @ 1.64",2026-03-22T19:48:40.301Z,,,true
DRY-1774209696414-1425,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,2.72,2,2,BET_PLACED,"Strategy 5: set 1 complete 3-6 (fav @ 1.11 pre-match), back playerA @ 2.72",2026-03-22T20:01:36.414Z,,,true
DRY-1774212835696-9477,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,3,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-2 (fav @ 3.40 pre-match), back playerB @ 3",2026-03-22T20:53:55.696Z,,,true
DRY-1774212840711-8900,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,3,2,2,BET_PLACED,"Strategy 4: set 1 complete 6-2 (fav @ 3.40 pre-match), back playerB @ 3",2026-03-22T20:54:00.711Z,,,true
DRY-1774213316429-4555,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,5.3,2,2,BET_PLACED,"Strategy 5: set 1 complete 6-2 (fav @ 3.40 pre-match), back playerB @ 5.3",2026-03-22T21:01:56.429Z,,,true
DRY-1774216540878-2810,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,BET_PLACED,"Strategy 2: set 1 complete 4-6 (fav @ 2.26 pre-match), back playerA @ 3",2026-03-22T21:55:40.878Z,,,true
DRY-1774216545885-5332,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,BET_PLACED,"Strategy 4: set 1 complete 4-6 (fav @ 2.26 pre-match), back playerA @ 3",2026-03-22T21:55:45.885Z,,,true
DRY-1774216550894-8331,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,BET_PLACED,"Strategy 5: set 1 complete 4-6 (fav @ 2.26 pre-match), back playerA @ 3",2026-03-22T21:55:50.894Z,,,true
DRY-1774262468715-1335,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,BET_PLACED,"Strategy 2: set 1 complete 3-6 (fav @ 2.54 pre-match), back playerA @ 2",2026-03-23T10:41:08.715Z,,,true
DRY-1774262473719-4080,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,BET_PLACED,"Strategy 4: set 1 complete 3-6 (fav @ 2.54 pre-match), back playerA @ 2",2026-03-23T10:41:13.719Z,,,true
DRY-1774263079586-152,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,BET_PLACED,"Strategy 2: set 1 complete 3-6 (fav @ 2.54 pre-match), back playerA @ 2",2026-03-23T10:51:19.586Z,,,true
DRY-1774263084596-2437,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,BET_PLACED,"Strategy 4: set 1 complete 3-6 (fav @ 2.54 pre-match), back playerA @ 2",2026-03-23T10:51:24.596Z,,,true
DRY-1774264799439,mkt1,A v B,Player A,BACK,2.2,2,2,BET_PLACED,test,2026-03-23T11:19:59.439Z,,,true,2.4,-2
DRY-1774278266588-6505,,Leyre Romero Gormaz v Lina Gjorcheska,Lina Gjorcheska,BACK,4.8,2,2,BET_PLACED,"Strategy 5: set 1 complete 6-3 (fav @ 2.22 pre-match), back playerB @ 4.8",2026-03-23T15:04:26.589Z,,,true,7.6,-2
DRY-1774283549464-5818,,Francisco Cerundolo v Daniil Medvedev,Daniil Medvedev,BACK,2.54,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-0 (fav @ 1.44 pre-match), back playerB @ 2.54",2026-03-23T16:32:29.464Z,,,true,3.08,-2
DRY-1774283554468-825,,Francisco Cerundolo v Daniil Medvedev,Daniil Medvedev,BACK,2.54,2,2,BET_PLACED,"Strategy 4: set 1 complete 6-0 (fav @ 1.44 pre-match), back playerB @ 2.54",2026-03-23T16:32:34.468Z,,,true,3.08,-2
DRY-1774283559483-37,,Francisco Cerundolo v Daniil Medvedev,Daniil Medvedev,BACK,2.54,2,2,BET_PLACED,"Strategy 5: set 1 complete 6-0 (fav @ 1.44 pre-match), back playerB @ 2.54",2026-03-23T16:32:39.483Z,,,true,3.08,-2
DRY-1774285567112-4465,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,2.12,2,2,BET_PLACED,"Strategy 2: set 1 complete 3-6 (fav @ 1.27 pre-match), back playerA @ 2.12",2026-03-23T17:06:07.112Z,,,true,2.24,-2
DRY-1774285572125-6928,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,2.12,2,2,BET_PLACED,"Strategy 4: set 1 complete 3-6 (fav @ 1.27 pre-match), back playerA @ 2.12",2026-03-23T17:06:12.125Z,,,true,2.24,-2
DRY-1774285582151-9111,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,2.12,2,2,BET_PLACED,"Strategy 5: set 1 complete 3-6 (fav @ 1.27 pre-match), back playerA @ 2.12",2026-03-23T17:06:22.151Z,,,true,2.24,-2
DRY-1774288576310-6897,,Mirra Andreeva v Victoria Mboko,Mirra Andreeva,BACK,2.16,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-7 (fav @ 2.18 pre-match), back playerA @ 2.16",2026-03-23T17:56:16.310Z,,,true,2.32,-2
DRY-1774288581323-8093,,Mirra Andreeva v Victoria Mboko,Mirra Andreeva,BACK,2.16,2,2,BET_PLACED,"Strategy 4: set 1 complete 6-7 (fav @ 2.18 pre-match), back playerA @ 2.16",2026-03-23T17:56:21.323Z,,,true,2.32,-2
DRY-1774289727730-8984,,Francisco Cerundolo v Daniil Medvedev,Daniil Medvedev,BACK,3.05,2,2,BET_PLACED,"Strategy 5: set 1 complete 6-0 (fav @ 1.44 pre-match), back playerB @ 3.05",2026-03-23T18:15:27.731Z,,,true,4.1,-2
DRY-1774289728429-5549,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,1.84,2,2,BET_PLACED,"Strategy 2: set 1 complete 3-6 (fav @ 1.27 pre-match), back playerA @ 1.84",2026-03-23T18:15:28.429Z,,,true,1.68,-2
DRY-1774289732735-9199,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,1.84,2,2,BET_PLACED,"Strategy 4: set 1 complete 3-6 (fav @ 1.27 pre-match), back playerA @ 1.84",2026-03-23T18:15:32.735Z,,,true,1.68,-2
DRY-1774294306307-1479,1.255650230,Sorana Cirstea  v Coco Gauff,Sorana Cirstea,BACK,4.4,2,2,BET_PLACED,"Strategy 5: set 1 complete 4-6 (fav @ 2.16 pre-match), back playerA @ 4.4",2026-03-23T19:31:46.307Z,,,true,6.8,-2
DRY-1774295097582-7703,1.255650444,Frances Tiafoe v Jakub Mensik,Jakub Mensik,BACK,1.96,2,2,BET_PLACED,"Strategy 2: set 1 complete 7-6 (fav @ 1.57 pre-match), back playerB @ 1.96",2026-03-23T19:44:57.582Z,,,true,1.92,-2
DRY-1774294306307-1479,1.255650230,Sorana Cirstea  v Coco Gauff,Sorana Cirstea,BACK,4.4,2,2,TRADE_OUT,Set 2 result hedge,2026-03-23T19:31:46.307Z,2026-03-23T20:08:54.487Z,2.27,true,6.8,-2
DRY-1774296539491-5327,1.255650230,Sorana Cirstea  v Coco Gauff,Sorana Cirstea,BACK,2.06,2,2,BET_PLACED,"Strategy 2: set 1 complete 4-6 (fav @ 2.16 pre-match), back playerA @ 2.06",2026-03-23T20:08:59.491Z,,,true,2.12,-2
DRY-1774296985144-1747,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,4,2,2,BET_PLACED,"Strategy 5: set 1 complete 6-3 (fav @ 1.93 pre-match), back playerB @ 4",2026-03-23T20:16:25.145Z,,,true,6,-2
DRY-1774295097582-7703,1.255650444,Frances Tiafoe v Jakub Mensik,Jakub Mensik,BACK,1.96,2,2,TRADE_OUT,Set 2 result hedge,2026-03-23T19:44:57.582Z,2026-03-23T20:29:31.304Z,0,true,1.92,-2
DRY-1774297776308-6417,1.255650444,Frances Tiafoe v Jakub Mensik,Jakub Mensik,BACK,1.96,2,2,BET_PLACED,"Strategy 4: set 1 complete 7-6 (fav @ 1.57 pre-match), back playerB @ 1.96",2026-03-23T20:29:36.308Z,,,true,1.92,-2
DRY-1774297776308-6417,1.255650444,Frances Tiafoe v Jakub Mensik,Jakub Mensik,BACK,1.96,2,2,TRADE_OUT,Set 2 result hedge,2026-03-23T20:29:36.308Z,2026-03-23T20:29:41.314Z,0,true,1.92,-2
DRY-1774296539491-5327,1.255650230,Sorana Cirstea  v Coco Gauff,Sorana Cirstea,BACK,2.06,2,2,DRY_LOSS,Match finished — lost,2026-03-23T20:08:59.491Z,2026-03-23T20:48:43.034Z,-2,true,2.12,-2
DRY-1774296985144-1747,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,4,2,2,DRY_LOSS,Match finished — lost,2026-03-23T20:16:25.145Z,2026-03-23T20:48:43.035Z,-2,true,6,-2
DRY-1774299649226-4690,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-3 (fav @ 1.93 pre-match), back playerB @ 1.9",2026-03-23T21:00:49.226Z,,,true,1.8,-2
DRY-1774299649226-4690,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,DRY_LOSS,Match finished — lost,2026-03-23T21:00:49.226Z,2026-03-23T21:00:54.239Z,-2,true,1.8,-2
DRY-1774299659245-8354,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,BET_PLACED,"Strategy 4: set 1 complete 6-3 (fav @ 1.93 pre-match), back playerB @ 1.9",2026-03-23T21:00:59.245Z,,,true,1.8,-2
DRY-1774299659245-8354,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,DRY_LOSS,Match finished — lost,2026-03-23T21:00:59.245Z,2026-03-23T21:01:04.248Z,-2,true,1.8,-2


DRY-1774133730919-9756,,Gianluca Cadenasso v Lautaro Midon,Gianluca Cadenasso,BACK,1.96,2,2,DRY_WIN,Manually settled - match finished,2026-03-21T22:55:30.919Z,2026-03-23T21:30:27.237Z,1.92,true,,
DRY-1774133735926-3831,,Gianluca Cadenasso v Lautaro Midon,Gianluca Cadenasso,BACK,1.96,2,2,DRY_WIN,Manually settled - match finished,2026-03-21T22:55:35.926Z,2026-03-23T21:30:27.238Z,1.92,true,,
DRY-1774204864462-7189,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,2.6,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T18:41:04.462Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774204869468-2992,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,2.6,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T18:41:09.468Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774205174855-2159,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,4.2,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T18:46:14.855Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774208915301-3010,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,1.64,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T19:48:35.302Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774208920301-7285,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,1.64,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T19:48:40.301Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774209696414-1425,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,2.72,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T20:01:36.414Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774212835696-9477,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,3,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T20:53:55.696Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774212840711-8900,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,3,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T20:54:00.711Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774213316429-4555,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,5.3,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T21:01:56.429Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774216540878-2810,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,DRY_WIN,Manually settled - match finished,2026-03-22T21:55:40.878Z,2026-03-23T21:30:27.238Z,4,true,,
DRY-1774216545885-5332,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,DRY_WIN,Manually settled - match finished,2026-03-22T21:55:45.885Z,2026-03-23T21:30:27.238Z,4,true,,
DRY-1774216550894-8331,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,DRY_WIN,Manually settled - match finished,2026-03-22T21:55:50.894Z,2026-03-23T21:30:27.238Z,4,true,,
DRY-1774262468715-1335,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T10:41:08.715Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774262473719-4080,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T10:41:13.719Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774263079586-152,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T10:51:19.586Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774263084596-2437,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T10:51:24.596Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774278266588-6505,,Leyre Romero Gormaz v Lina Gjorcheska,Lina Gjorcheska,BACK,4.8,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T15:04:26.589Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774283549464-5818,,Francisco Cerundolo v Daniil Medvedev,Daniil Medvedev,BACK,2.54,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T16:32:29.464Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774283554468-825,,Francisco Cerundolo v Daniil Medvedev,Daniil Medvedev,BACK,2.54,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T16:32:34.468Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774283559483-37,,Francisco Cerundolo v Daniil Medvedev,Daniil Medvedev,BACK,2.54,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T16:32:39.483Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774285567112-4465,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,2.12,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T17:06:07.112Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774285572125-6928,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,2.12,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T17:06:12.125Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774285582151-9111,,Felix Auger-Aliassime v Terence Atmane,Felix Auger-Aliassime,BACK,2.12,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T17:06:22.151Z,2026-03-23T21:30:27.238Z,-2,true,,
